Wavelength,OrangeII5,SunsetYellow5,Tartrazine5,Erioglycine5
501,0.072151368,0.067151422,0.002680044,0.001300108
502,0.071805341,0.066909673,0.002431969,0.001522661
503,0.071052199,0.066297914,0.001991228,0.001364476
504,0.070511123,0.065602976,0.001744273,0.001539253
505,0.069905108,0.064906838,0.001618913,0.001611449
506,0.069382569,0.064291495,0.00138297,0.001685604
507,0.068416459,0.06345206,0.001226646,0.001728493
508,0.067370651,0.062332182,0.000933774,0.001635967
509,0.066490097,0.061253822,0.000880685,0.00190838
510,0.065343132,0.060127164,0.000731929,0.001884133
511,0.064291348,0.058751057,0.000792986,0.002185464
512,0.062983094,0.057044036,0.000507791,0.002088966
513,0.061671586,0.05560747,0.000566769,0.002355186
514,0.059999024,0.053677371,0.000464729,0.002486094
515,0.058575643,0.051782979,0.00048302,0.002567426
516,0.056776179,0.049625321,0.000347015,0.002810969
517,0.054874157,0.047445684,0.000319457,0.002814928
518,0.052986709,0.045197441,0.000253287,0.002934381
519,0.050930263,0.0427558,0.000229256,0.003061788
520,0.048763664,0.040341208,0.00012437,0.003339635
521,0.046395709,0.03816074,0.000286228,0.003301932
522,0.044238159,0.035355332,0.000117199,0.0035318
523,0.041821336,0.032940442,0.000218174,0.003704137
524,0.039620442,0.030374395,8.17235E-06,0.003888683
525,0.037292784,0.028055063,0.000125457,0.003895471
526,0.034831566,0.025785311,7.56247E-05,0.004211866
527,0.032733777,0.023886951,0.000207221,0.004338499
528,0.030413743,0.02180972,0.000102805,0.004491522
529,0.02857217,0.019674628,4.14054E-05,0.004738867
530,0.026477312,0.017707118,6.62543E-05,0.005007502
531,0.024143761,0.015894986,-0.000120336,0.005029831
532,0.022157771,0.014356052,-1.1083E-05,0.005368456
533,0.020383674,0.012887351,2.34427E-05,0.005572266
534,0.018614718,0.011487841,0.000100527,0.005862294
535,0.016864417,0.010317242,8.9396E-05,0.006130628
536,0.015239123,0.009145507,7.21561E-05,0.006172541
537,0.013878859,0.008125443,0.000108345,0.006590576
538,0.01248476,0.00726099,0.000108216,0.006701349
539,0.011283742,0.006477489,6.22162E-05,0.007120368
540,0.010048061,0.00571572,9.32531E-05,0.007361688
541,0.009075517,0.005151841,0.000148887,0.007688704
542,0.008193016,0.00448755,0.000117924,0.008176303
543,0.007295738,0.003898734,8.7584E-05,0.008290779
544,0.006368428,0.003394162,8.08018E-05,0.00866226
545,0.005820255,0.003099821,9.88053E-06,0.009014615
546,0.005145011,0.002636527,-1.66214E-05,0.009483976
547,0.004510031,0.00250955,7.12242E-05,0.009760407
548,0.003949532,0.002223298,4.24925E-05,0.010154231
549,0.003635055,0.001833901,6.08185E-05,0.010629599
550,0.003283312,0.00156178,-0.000148331,0.011129725
551,0.002732459,0.001428419,3.54523E-05,0.01146193
552,0.002352014,0.001265875,-5.8545E-05,0.011824781
553,0.002161852,0.001205541,-5.33757E-06,0.0125678
554,0.001827009,0.000941359,-0.000168562,0.012960661
555,0.001644344,0.001022459,5.45544E-05,0.013466763
556,0.001413915,0.000821384,5.64699E-05,0.014044434
557,0.001515803,0.000723759,-4.61236E-05,0.014849416
558,0.001190532,0.000645462,-3.6812E-06,0.015357216
559,0.000995487,0.00056052,4.35279E-05,0.016193214
560,0.000962962,0.000567464,-4.9022E-05,0.016765703
561,0.000841306,0.000357846,-0.000134359,0.017554034
562,0.000756336,0.000294789,-7.21563E-05,0.018291627
563,0.000659003,0.000375483,-1.23771E-05,0.019184624
564,0.00060483,0.000212012,-9.09941E-05,0.019900721
565,0.000533006,0.00025815,3.17769E-05,0.020907991
566,0.000543388,0.000288704,-8.13267E-06,0.021600694
567,0.000430676,0.000175717,-3.15798E-05,0.022801953
568,0.000472351,0.000192078,-6.58941E-05,0.023398028
569,0.000392111,0.000130003,0.000193187,0.024570403
570,0.00014993,2.46653E-05,-8.61813E-05,0.025302793
571,0.000357121,0.00012964,-7.54168E-05,0.026458683
572,0.000445999,0.000142997,9.76021E-05,0.027345669
573,0.000326378,0.000188428,1.71274E-05,0.028312041
574,0.00040852,2.31644E-05,-4.33287E-05,0.029385935
575,0.000593178,-0.000116452,0.000109769,0.030201941
576,0.000146464,-6.35705E-05,2.21965E-06,0.030807155
577,4.01645E-05,3.03168E-06,-0.000144864,0.03156779
578,6.27671E-05,-5.6533E-05,-1.18595E-05,0.032577333
579,6.72153E-05,0.000228349,1.99227E-05,0.033362982
580,-7.05388E-06,0.000102462,-6.58941E-05,0.034242918
581,-5.39052E-05,0.000307348,-0.000199089,0.034783394
582,5.05088E-05,0.000171264,5.33638E-05,0.035557293
583,4.67848E-05,0.000122962,2.63415E-05,0.036399313
584,0.000109114,5.2563E-05,-9.56517E-05,0.03720595
585,5.09932E-06,8.39823E-05,4.8187E-05,0.03789419
586,-8.44127E-05,2.0059E-05,0.000112332,0.038710968
587,6.20946E-05,-5.44631E-05,-5.14027E-05,0.039797817
588,0.000122977,-7.81108E-05,7.82133E-05,0.040454616
589,-6.87973E-05,0.000152523,0.000123257,0.041328845
590,-8.0845E-05,-6.72444E-05,-7.82632E-05,0.042268832
591,0.000168606,-4.93401E-05,1.69721E-05,0.043142212
592,7.2698E-05,9.8114E-05,-4.40587E-06,0.043904566
593,0.000115011,0.000317602,0.000215791,0.044870754
594,1.5753E-05,7.43078E-06,-0.000150556,0.045762782
595,6.83015E-05,7.14557E-05,7.62977E-05,0.047071421
596,-8.23962E-05,8.62114E-06,9.93882E-05,0.048167624
597,9.40091E-05,0.000129122,0.000109122,0.049478901
598,7.33187E-05,3.20148E-05,8.9488E-06,0.050894246
599,-6.37299E-05,-7.37126E-05,0.000123593,0.052254532
600,0.000147446,-0.000117642,-5.73546E-05,0.053985898
601,0.000213981,-1.3374E-05,1.32451E-05,0.055666038
602,0.000143049,5.74802E-05,0.000186584,0.05749219
603,-1.52034E-06,0.000100599,-2.69773E-06,0.059396003
604,0.000236334,-0.000105741,1.37628E-05,0.061625638
605,7.90085E-05,9.44387E-05,-9.08906E-05,0.063493335
606,0.00014129,-0.000134094,-8.24551E-05,0.065961995
607,0.000188628,1.2037E-05,0.000102003,0.068526172
608,4.33195E-05,0.00011266,-5.17133E-05,0.071107798
609,0.000121529,6.05341E-05,-0.000102276,0.074202076
610,-0.000197117,7.54414E-05,5.53245E-06,0.076923587
611,3.16307E-05,0.000123169,4.46668E-05,0.080206954
612,-0.000161965,1.10019E-05,0.000179775,0.083186322
613,7.63705E-05,9.44387E-05,-0.000223043,0.086380751
614,0.000128357,0.000107173,8.7584E-05,0.0897021
615,1.02193E-05,-8.36474E-05,1.21064E-05,0.09321309
616,-0.000167082,-0.000110398,-4.01716E-05,0.096316458
617,-9.51674E-05,-2.5639E-05,5.56416E-05,0.099818998
618,-2.63949E-05,3.44992E-05,6.16985E-05,0.102986597
619,6.4267E-05,-6.8952E-05,-6.52213E-05,0.106146806
620,-5.89727E-05,-9.08915E-05,-6.38757E-05,0.109293343
621,-9.94588E-05,-0.000148115,-0.000234114,0.111959674
622,0.000144342,-0.000134819,1.49016E-05,0.114987695
623,-0.00019784,-4.61317E-05,-5.79239E-05,0.11764861
624,-0.000137563,-0.000226488,-0.00018781,0.119729579
625,-4.73898E-05,-8.40578E-06,-0.0001163,0.121790283
626,-8.62741E-05,-3.82142E-05,3.56593E-05,0.123245836
627,-7.62948E-05,7.50273E-05,-3.40642E-05,0.124409766
628,-3.53411E-05,-0.000139837,-8.21446E-05,0.125218579
629,6.13368E-06,-2.61048E-05,-6.97757E-05,0.125720763
630,-0.000115538,-1.69449E-05,-0.0001163,0.125546911
631,-7.40714E-05,0.000103549,-1.79154E-05,0.125005105
632,8.85778E-05,-8.14742E-05,-9.59105E-05,0.124264822
633,6.37498E-05,7.73566E-05,1.5678E-05,0.122542993
634,5.33535E-05,2.58557E-05,9.25937E-06,0.120504164
635,3.31306E-05,7.48203E-05,9.36673E-05,0.118105874
636,0.000143929,-0.000246144,-0.000122458,0.115264379
637,-1.9155E-05,-0.00021666,7.51588E-05,0.111926326
638,-4.46812E-06,7.06793E-05,5.65216E-05,0.10827677
639,3.6751E-05,-5.79301E-05,0.000110805,0.104660422
640,2.91999E-05,0.000136474,0.00017123,0.100491495
641,-8.81355E-05,-4.74772E-05,8.25103E-05,0.096083895
642,4.03714E-05,5.41675E-05,6.71344E-05,0.091636696
