Site,Storm ID,Volume (liters),EG+PG (kg),Sample Start Date,Sample End Date,recordNo
US,S84,4474062.3,178.962492,10/26/2010 7:20,10/26/2010 10:20,
US,S85,240693.225,9.627729,12/20/2010 17:25,12/21/2010 13:35,
US,S86,144415.935,5.7766374,1/31/2011 11:10,2/2/2011 10:50,
US,S87,3992675.85,271.5019578,2/20/2011 9:40,2/22/2011 7:40,
US,S88,18292685.1,731.707404,4/19/2011 18:55,4/20/2011 4:15,
US,S89,99108.975,3.964359,8/31/2011 1:10,8/31/2011 7:10,
US,S90,302990.295,12.1196118,12/20/2011 17:05,12/21/2011 6:35,
US,S91,617307.33,24.6922932,1/12/2012 11:45,1/13/2012 11:55,
US,S92,461564.655,18.4625862,1/17/2012 7:10,1/17/2012 16:15,
US,S93,3199804.05,127.992162,3/2/2012 15:30,3/3/2012 20:05,
US,S94,4728913.95,189.156558,7/18/2012 21:05,7/19/2012 10:40,
US,S95,0,0,12/20/2012 17:35,12/21/2012 6:50,
US,S96,0,0,1/12/2013 23:05,1/13/2013 10:20,
US,S97,0,0,1/27/2013 12:40,1/28/2013 3:30,
US,S98,0,0,2/7/2013 7:50,2/8/2013 8:05,
US,S99,0,0,3/9/2013 9:45,3/11/2013 4:15,
US,S100,0,0,4/14/2013 7:00,4/14/2013 12:35,
US,S101,31714872,24071.58785,12/10/1997 9:00,12/11/1997 1:10,
LK,S07,21350904.9,2946.424876,1/8/1998 11:30,1/9/1998 3:05,
LK,S08,4247527.5,543.68352,3/3/1998 12:05,3/3/1998 15:25,
LK,S09,141301081.5,5086.838934,7/20/1998 19:45,7/21/1998 9:55,
LK,S10,4044778.854,145.6120387,12/20/1998 21:15,12/21/1998 8:10,
LK,S11,5302613.331,190.8940799,12/29/1998 13:20,12/30/1998 9:25,
LK,S13,74133513.3,6523.74917,1/17/1999 14:35,1/18/1999 10:45,
LK,S14,5661104.652,294.3774419,3/13/1999 16:23,3/13/1999 22:22,
LK,S15,67677271.5,3654.572661,3/15/1999 15:30,3/17/1999 2:50,
LK,S16,14604698.56,525.769148,9/27/1999 4:40,9/27/1999 11:25,
LK,S17,11808126.45,2692.252831,1/3/2000 20:45,1/4/2000 15:50,
LK,S18,1755644.7,196.6322064,1/19/2000 20:45,1/20/2000 6:00,
LK,S19,9457827.9,1494.336808,2/13/2000 10:50,2/14/2000 4:50,
LK,S20,314883372,11335.80139,2/22/2000 11:40,2/24/2000 16:35,
LK,S21,136827019.2,7388.659037,2/24/2000 18:15,2/28/2000 9:45,
LK,S22,50687161.5,14445.84103,4/7/2000 15:40,4/8/2000 7:25,
LK,S23,158177924.1,6643.472812,9/22/2000 12:50,9/22/2000 22:05,
LK,S24,4780733.786,707.5486003,12/11/2000 14:25,12/12/2000 9:35,
LK,S26,30885188.3,7258.019249,1/14/2001 9:00,1/14/2001 16:20,
LK,S27,32102246.51,5393.177413,1/29/2001 10:10,1/29/2001 19:50,
LK,S28,72304244.79,12870.15557,2/24/2001 8:30,2/24/2001 17:45,
LK,S29,91717710.81,3301.837589,3/20/2001 21:55,3/26/2001 12:40,
LK,S30,47487357.45,1709.544868,10/24/2001 0:50,10/24/2001 3:30,
LK,S31,9287926.8,334.3653648,1/14/2002 9:10,1/14/2002 18:35,
LK,S32,6541192.35,281.2712711,1/16/2002 17:10,1/17/2002 6:05,
LK,S33,48223595.55,9548.271919,1/31/2002 9:40,2/1/2002 15:15,
LK,S34,12969117.3,531.7338093,2/21/2002 8:55,2/21/2002 18:35,
LK,S35,25541798.7,4776.316357,3/2/2002 8:05,3/3/2002 6:50,
LK,S36,56152313.55,2021.483288,10/2/2002 1:20,10/2/2002 13:10,
LK,S37,4260270.083,153.369723,1/31/2003 8:50,1/31/2003 22:30,
LK,S38,22993282.2,3632.938588,3/4/2003 23:25,3/8/2003 14:40,
LK,S39,164775750.2,24386.81102,3/14/2003 14:35,3/16/2003 20:15,
LK,S40,60173306.25,8303.916263,4/4/2003 17:50,4/5/2003 5:45,
LK,S41,5683191.795,204.5949046,1/4/2004 17:10,1/5/2004 11:13,
LK,S42,10604943.49,1993.729377,1/17/2004 9:05,1/18/2004 4:50,
LK,S43,86564610.45,27527.54612,2/19/2004 19:46,2/22/2004 15:51,
LK,S45,9560618.066,755.2888272,1/3/2005 19:40,1/4/2005 7:40,
LK,S47,357330330.2,17866.51651,1/12/2005 17:10,1/13/2005 15:20,
LK,S48,49865972.85,22339.95584,2/20/2005 13:15,2/21/2005 15:15,
LK,S49,28656652.2,6533.716702,3/18/2005 4:00,3/19/2005 4:05,
LK,S50,89707780.8,6548.667998,3/19/2005 4:20,3/20/2005 13:00,
LK,S51,11809259.12,425.1333285,1/21/2006 0:10,1/21/2006 17:30,
LK,S52,2497263.002,117.3713611,2/11/2006 22:15,2/12/2006 4:50,
LK,S53,38153274.18,7172.815547,2/16/2006 6:10,2/17/2006 6:20,
LK,S54,35451280.36,7019.353511,3/5/2006 23:00,3/6/2006 23:40,
LK,S55,350359288,13664.01223,3/7/2006 13:50,3/9/2006 9:45,
